6,Polskie prawo konstytucyjne. Zarys wykładu (wydanie 5/6)
7,Prawo cywilne - część ogólna
8,Proces karny. Zarys systemu
9,Postępowanie karne
10,Polskie postępowanie karne
11,Prawo administracyjne (wydanie 7/8)
12,Postępowanie administracyjne (wyd. 2)
13,Prawo Spadkowe
14,Prawo cywilne. Zarys części ogólnej
15,Prawo administracyjne
16,Postępowanie sądowoadministracyjne (wyd. 7)
17,Prawo administracyjne. Pojęcia instytucje zasady w teorii i orzecznictwie
18,Prawo cywilne. Część ogólna
19,Prawo Spadkowe
20,Postępowanie administracyjne i sądowoadministracyjne
21,Prawo administracyjne (wyd. 13 zmienione i uzupełnione)
22,Prawo cywilne. Część ogólna
23,Kodeks postępowania administracyjnego. Komentarz
24,Prawo w diagramach. Kodeks postępowania karnego
25,Logika praktyczna
26,Zobowiązania - część ogólna.
27,Prawo spadkowe. Zarys wykładu
28,Przewodnik do ćwiczeń z logiki dla studentów prawa i administracji
29,Proces karny w diagramach
30,Zobowiązania - część szczególna.
31,Zagadnienia i kierunki filozofii. Teoria poznania. Metafizyka
32,Prawo rodzinne 
33,Zobowiązania - część ogólna.
34,Wykłady z dziejów logiki
35,Zarys procesu administracyjnego
36,Prawo rzeczowe
37,Prawo rodzinne i opiekuńcze
38,"Proces karny. Testy, podpowiedzi, rozwiązania"
39,Prawo rzeczowe. Zarys wykładu
40,Postępowanie egzekucyjne w administracji
41,Polskie prawo karne : Część ogólna (Wydanie 3)
42,Prawo rzeczowe
43,Prawo rodzinne 
44,Wstęp do prawoznawstwa
45,Postępowanie cywilne. Zarys wykładu (wyd.5) 
46,Historia Ustroju i Prawa Polskiego 
47,Kodeks Karny. Część Ogólna T.1 Komentarz art.1-116 (Wydanie 5)
48,Metody prawnicze
49,Historia państwa i prawa polskiego. Tom 1. (966-1795)
50,Kodeks postępowania administracyjnego. Komentarz.
51,Pojęcie prawa
52,Kryminalistyka Przewodnik
53,Historia ustroju i prawa sądowego Polski 
54,Prawo karne wykonawcze z elementami polityki karnej i penitencjarnej 
55,Biorąc prawa poważnie
56,Uprawnienia strony w postępowaniu administracyjnym
57,Historia ustroju i prawa Polski w pigułce 
58,Historia ustroju i prawa polskiego (1772-1918) 
59,Postępowanie cywilne w zarysie (wyd.12)
60,"Historia administracji i myśli administracyjnej,"
61,Prawo konstytucyjne. Zarys wykładu (wyd. XIII)
62,Prawo o postępowaniu przed sądami administracyjnymi. Komentarz. (wyd. 4)
63,Historia doktryn politycznych i prawnych
64,Kryminalistyka. Wybrane zagadnienia teorii i praktyki śledczo-sądowej
65,Instytucje gospodarki rynkowej
66,Prawo rzymskie (pomarańczowa)
67,Zasada dyspozycyjności w procesie cywilnym
68,Prawo o postępowaniu przed sądami administracyjnymi. Komentarz. (wyd. 4)
69,Prawo rzymskie (zielona)
70,Prawne podstawy resocjalizacji 
71,Prawo rzymskie a współczesność
72,Historia administracji i myśli administracyjnej. Wybór źródeł
73,Temida nad mikroskopem. Judykatura wobec dowodu naukowego 1993 - 2008
74,Formalizm postępowania cywilnego
76,Proces Jezusa w świetle prawa rzymskiego
77,Kodeks postępowania administracyjnego. Komentarz.
78,Prawo międzynarodowe publiczne
79,Prawo rzymskie. Pytania. Kazusy. Tablice. Testy
81,Prawo wykroczeń (materialne i procesowe) Wydanie 8
82,Prawo rzymskie
83,Prawo autorskie i prawa pokrewne.
84,"Kodeks postępowania cywilnego. Komentarz, t. I, art. 1-729 (wyd.2)"
85,Prawo wykroczeń (Repetytorium)
86,Prawo międzynarodowe publiczne. Zagadnienia systemowe
87,Prawo wyznaniowe
88,Warsztaty prawnicze. Prawo rzymskie
89,Kryminalistyka (wydanie 4)
90,Rzymskie prawo prywatne. Repetytorium
91,Prawo własności przemysłowej (wyd. 5)
92,"Kodeks postępowania cywilnego. Komentarz, t. II, art. 730-1217 (wyd.2)"
93,Obywatel - NIE idiota
94,Prawo finansów publicznych
95,Testament żołnierski i testamenty wojskowe w europejskiej tradycji prawnej
96,Ustawa o zwalczaniu nieuczciwej konkurencji. Komentarz.
97,Kryminologia
98,Prawo konstytucyjne RP (wyd. IX)
99,Udział państwa w spadku Rzymska myśl prawna w perspektywie prawnoporównawczej 
100,Wprowadzenie do prawa podatkowego
101,Powszechna historia prawa
103,Ustroje konstytucyjne państw współczesnych
104,Prawo rolne
105,Prawo ochrony środowiska. Komentarz 
106,Porównawcze prawo konstytucyjne współczesnych państw demokratycznych (wyd. II)
107,Polskie Prawo Podatkowe. Zarys Systemu
108,Prawo spółek
109,Leksykon socjologii prawa
110,Ochrona Środowiska 
111,Konstytucja RP. Komentarz (wyd. VI)
112,Systemy ustrojowe państw współczesnych
113,Prawo gospodarcze prywatne
114,Trener akademicki. Prawo konstytucyjne (wyd. II)
115,Prawo ochrony środowiska 
116,Constitutions Compared. An Introduction to Comparative Constitutional Law (3rd edition)
117,Prawo instytucjonalne Unii Europejskiej
118,Prawo samorządu terytorialnego w Polsce
119,Prawo instrumentów finansowych. System Prawa Handlowego. tom 4
120,Prawo konstytucyjne repetytorium (wyd.2)
121,Polskie prawo pracy
122,Prawo rynku kapitałowego
123,Prawo Unii Europejskiej z uwzględnieniem Traktatu z Lizbony
124,Komentarz do ustawy o samorządzie gminnym	
125,Międzynarodowe prawo zobowiązań Unii Europejskiej
126,Międzynarodowe prawo środowiska: Wybrane zagadnienia systemowe
127,Zbiorowe prawo pracy Komentarz
128,Ustawa o gminnym samorządzie terytorialnym. Komentarz
129,Współpraca sądowa w sprawach cywilnych  (wyd. 2007r.)
130,Prawne podstawy ochrony środowiska
131,Wstęp do prawoznawstwa
132,Prawo Pracy (19 wydanie)
133,Władza rodzicielska i opieka nad dzieckiem w prawie prywatnym międzynarodowym
134,Ochrona Środowiska. Zarys Wykładu
135,Prawo prywatne międzynarodowe
136,Prawo gospodarcze Unii Europejskiej
137,Prawo prywatne międzynarodowe. Komentarz.
138,Sztuka negocjacji prawniczych
139,Psychologia społeczna
